NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2011S005289,3,Sants-Montjuïc,34-3-18,Sants,40300,Berlín,0056 0056,Dijous,4,Laboral,2011,8,Agost,4,16,Tarda,Desconegut,0,2,0,2,3,"4581718,36","428121,52",20110804,04/08/2011,"428121,52/4581718,36",41.3837813808,2.14033512689,"41.3837813808, 2.14033512689","(41.3837813808, 2.14033512689)",False,Laboral,,2000.0,[],Col.lisió lateral,No hi ha causa mediata
2011S000218,3,Sants-Montjuïc,34-3-18,Sants,231502,Numància,0015 0027,Dimecres,3,Laboral,2011,1,Gener,12,21,Tarda,Desconegut,0,0,0,0,2,"4581504,55","428127,94",20110112,12/01/2011,"428127,94/4581504,55",41.3818562484,2.14043726214,"41.3818562484, 2.14043726214","(41.3818562484, 2.14043726214)",False,Laboral,,2000.0,[],Col.lisió lateral,No hi ha causa mediata
2011S008141,3,Sants-Montjuïc,34-3-18,Sants,88001,Comtes de Bell-lloc,0064U0064U,Divendres,5,Laboral,2011,12,Desembre,2,13,Matí,Desconegut,0,1,0,1,2,"4581204,19","427947,93",20111202,02/12/2011,"427947,93/4581204,19",41.3791349192,2.13832035487,"41.3791349192, 2.13832035487","(41.3791349192, 2.13832035487)",False,Laboral,,2000.0,"[(41.37943, 2.13806)]",Col.lisió fronto-lateral,No hi ha causa mediata
2011S004891,3,Sants-Montjuïc,34-3-18,Sants,138802,Galileu,0132 0132,Dissabte,6,Laboral,2011,7,Juliol,16,19,Tarda,Desconegut,0,1,0,1,3,"4581270,46","427613,93",20110716,16/07/2011,"427613,93/4581270,46",41.3797018099,2.13431852805,"41.3797018099, 2.13431852805","(41.3797018099, 2.13431852805)",False,Festiu,,2000.0,[],Col.lisió fronto-lateral,No hi ha causa mediata
2011S007485,3,Sants-Montjuïc,34-3-18,Sants,62755,Riera de Tena,0042 0042,Dilluns,1,Laboral,2011,11,Novembre,7,15,Tarda,Desconegut,0,1,0,1,1,"4580406,57","427547,21",20111107,07/11/2011,"427547,21/4580406,57",41.3719150782,2.13362395509,"41.3719150782, 2.13362395509","(41.3719150782, 2.13362395509)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2011S006664,3,Sants-Montjuïc,34-3-18,Sants,98005,Daoíz i Velarde,0005 0005,Dimarts,2,Laboral,2011,10,Octubre,4,21,Tarda,Desconegut,0,1,0,1,1,"4580674,07","427546,29",20111004,04/10/2011,"427546,29/4580674,07",41.3743242666,2.13358098523,"41.3743242666, 2.13358098523","(41.3743242666, 2.13358098523)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2011S007569,3,Sants-Montjuïc,34-3-18,Sants,210808,Miquel Àngel,0104 0104,Dijous,4,Laboral,2011,11,Novembre,10,14,Tarda,Desconegut,0,1,0,1,2,"4580982,69","427278,95",20111110,10/11/2011,"427278,95/4580982,69",41.3770797736,2.13034739579,"41.3770797736, 2.13034739579","(41.3770797736, 2.13034739579)",False,Laboral,,2000.0,"[(41.37715, 2.1302), (41.37683, 2.13044)]",Abast,No hi ha causa mediata
2011S000451,3,Sants-Montjuïc,34-3-18,Sants,312400,Sants,0111 0111,Dissabte,6,Laboral,2011,1,Gener,22,22,Nit,Desconegut,0,1,0,1,2,"4580785,03","427635,34",20110122,22/01/2011,"427635,34/4580785,03",41.3753316535,2.13463250417,"41.3753316535, 2.13463250417","(41.3753316535, 2.13463250417)",False,Festiu,,2000.0,[],Abast,No hi ha causa mediata
2011S001361,3,Sants-Montjuïc,34-3-18,Sants,312400,Sants,0121 0121,Dissabte,6,Laboral,2011,2,Febrer,26,19,Tarda,Desconegut,0,0,0,0,2,"4580786,05","427605,51",20110226,26/02/2011,"427605,51/4580786,05",41.3753381574,2.13427570149,"41.3753381574, 2.13427570149","(41.3753381574, 2.13427570149)",False,Festiu,,2000.0,[],Abast,Alcoholèmia
2011S008695,3,Sants-Montjuïc,34-3-18,Sants,48404,Brasil,0002 0002,Divendres,5,Laboral,2011,12,Desembre,23,21,Tarda,Desconegut,0,1,0,1,3,"4580823,21","427310,92",20111223,23/12/2011,"427310,92/4580823,21",41.375646288,2.13074879981,"41.375646288, 2.13074879981","(41.375646288, 2.13074879981)",False,Laboral,,2000.0,"[(41.37566, 2.1307299), (41.37582, 2.13068)]",Abast multiple,Excés de velocitat o inadequada
2011S008334,3,Sants-Montjuïc,34-3-18,Sants,48404,Brasil,0004 0004,Dilluns,1,Laboral,2011,12,Desembre,12,9,Matí,Desconegut,0,1,0,1,2,"4580843,78","427306,71",20111212,12/12/2011,"427306,71/4580843,78",41.3758311737,2.1306959933,"41.3758311737, 2.1306959933","(41.3758311737, 2.1306959933)",False,Laboral,,2000.0,"[(41.37566, 2.1307299), (41.37582, 2.13068), (41.37625, 2.1306)]",Caiguda (dues rodes),No hi ha causa mediata
2011S003257,4,Les Corts,41-4-19,les Corts,144601,Diagonal,0607B0607B,Dissabte,6,Laboral,2011,5,Maig,14,11,Matí,Desconegut,0,1,0,1,2,"4582237,64","427204,41",20110514,14/05/2011,"427204,41/4582237,64",41.3883758621,2.12930532509,"41.3883758621, 2.12930532509","(41.3883758621, 2.12930532509)",True,Festiu,,2000.0,[],Abast,No hi ha causa mediata
2011S003492,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,343903,Corts,0150 0152,Dilluns,1,Laboral,2011,5,Maig,23,11,Matí,Desobeir el senyal del semàfor,0,2,0,2,1,"4581470,47","427010,76",20110523,23/05/2011,"427010,76/4581470,47",41.38144873,2.12708179019,"41.38144873, 2.12708179019","(41.38144873, 2.12708179019)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2011S005044,4,Les Corts,42-4-20,la Maternitat i Sant Ramon,187207,Madrid,0089 0093,Dissabte,6,Laboral,2011,7,Juliol,23,13,Matí,Desconegut,0,1,0,1,1,"4581152,77","427028,17",20110723,23/07/2011,"427028,17/4581152,77",41.3785889138,2.12732823703,"41.3785889138, 2.12732823703","(41.3785889138, 2.12732823703)",False,Festiu,,2000.0,[],Caiguda interior vehicle,No hi ha causa mediata
