NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2010S003688,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0181 0181,Divendres,5,Laboral,2010,5,Maig,28,19,Tarda,Desconegut,0,0,0,0,1,"4584941,35","432017,96",20100528,28/05/2010,"432017,96/4584941,35",41.4131485914,2.18656994324,"41.4131485914, 2.18656994324","(41.4131485914, 2.18656994324)",False,Laboral,,2000.0,[],Xoc contra element estàtic,No hi ha causa mediata
2010S007597,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,346402,Trinxant,0014 0014,Dilluns,1,Laboral,2010,11,Novembre,8,11,Matí,Desconegut,0,1,0,1,2,"4585041,70","432014,69",20101108,08/11/2010,"432014,69/4585041,70",41.4140521352,2.18651954367,"41.4140521352, 2.18651954367","(41.4140521352, 2.18651954367)",True,Laboral,,2000.0,"[(41.4139399, 2.18682)]",Col.lisió lateral,No hi ha causa mediata
2010S001390,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0314 0316,Dijous,4,Laboral,2010,2,Febrer,25,13,Matí,Desconegut,0,1,0,1,1,"4585117,42","431401,23",20100225,25/02/2010,"431401,23/4585117,42",41.4146819898,2.1791713009,"41.4146819898, 2.1791713009","(41.4146819898, 2.1791713009)",False,Laboral,,2000.0,"[(41.4145899, 2.17884)]",Atropellament,No hi ha causa mediata
2010S005416,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,134801,Freser,0007 0007,Dimarts,2,Laboral,2010,8,Agost,3,14,Tarda,Desconegut,0,1,0,1,2,"4584596,60","431397,75",20100803,03/08/2010,"431397,75/4584596,60",41.4099908411,2.17918871781,"41.4099908411, 2.17918871781","(41.4099908411, 2.17918871781)",False,Laboral,,2000.0,"[(41.40963, 2.1791299)]",Abast,No hi ha causa mediata
2010S008924,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0258 0258,Divendres,5,Laboral,2010,12,Desembre,24,14,Tarda,Desconegut,0,2,0,2,2,"4584932,86","431391,10",20101224,24/12/2010,"431391,10/4584932,86",41.4130188553,2.17907103082,"41.4130188553, 2.17907103082","(41.4130188553, 2.17907103082)",False,Laboral,,2000.0,"[(41.4131799, 2.17912), (41.4131799, 2.17912), (41.41292, 2.1787899)]",Col.lisió lateral,No hi ha causa mediata
2010S004500,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,105304,Dos de Maig,0228 0228,Dimarts,2,Laboral,2010,6,Juny,29,10,Matí,Desconegut,0,1,0,1,2,"4584247,30","431675,21",20100629,29/06/2010,"431675,21/4584247,30",41.4068684416,2.18254758042,"41.4068684416, 2.18254758042","(41.4068684416, 2.18254758042)",False,Laboral,,2000.0,"[(41.40688, 2.1823)]",Col.lisió fronto-lateral,No hi ha causa mediata
2010S000794,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,18505,Aragó,0557 0557,Dimecres,3,Laboral,2010,2,Febrer,3,7,Matí,Desconegut,0,1,0,1,2,"4584290,47","431853,49",20100203,03/02/2010,"431853,49/4584290,47",41.4072723936,2.18467549219,"41.4072723936, 2.18467549219","(41.4072723936, 2.18467549219)",False,Laboral,,2000.0,[],Caiguda (dues rodes),No hi ha causa mediata
2010S008282,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0117B0117B,Dimecres,3,Laboral,2010,12,Desembre,1,6,Matí,Desconegut,0,1,0,1,2,"4584429,71","432006,68",20101201,01/12/2010,"432006,68/4584429,71",41.4085394572,2.18649248012,"41.4085394572, 2.18649248012","(41.4085394572, 2.18649248012)",False,Laboral,,2000.0,"[(41.40853, 2.18673)]",Col.lisió lateral,No hi ha causa mediata
2010S005209,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,117802,Eterna Memòria,0003 0003,Dilluns,1,Laboral,2010,7,Juliol,26,13,Matí,Creuar per fora pas de vianants,0,2,0,2,1,"4584955,54","431617,20",20100726,26/07/2010,"431617,20/4584955,54",41.4132423965,2.18177356633,"41.4132423965, 2.18177356633","(41.4132423965, 2.18177356633)",False,Laboral,,2000.0,"[(41.4133799, 2.18124)]",Atropellament,No hi ha causa mediata
2010S005380,10,Sant Martí,102-10-72,Sant Martí de Provençals,115603,Espronceda,0214 0222,Diumenge,7,Laboral,2010,8,Agost,1,19,Tarda,Desconegut,0,0,0,0,2,"4584763,24","432846,04",20100801,01/08/2010,"432846,04/4584763,24",41.4116140269,2.19649705323,"41.4116140269, 2.19649705323","(41.4116140269, 2.19649705323)",False,Festiu,,2000.0,"[(41.41134, 2.19665)]",Abast,Alcoholèmia
