NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2014S007072,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dijous,4,Laboral,2014,10,Octubre,2,16,Tarda,Desconegut,0,1,0,1,1,-1,-1,20141002,02/10/2014,-1/-1,-1.0,-1.0,"-1.0, -1.0","(-1.0, -1.0)",False,Laboral,,2000.0,,Caiguda (dues rodes),No hi ha causa mediata
2014S000436,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dilluns,1,Laboral,2014,1,Gener,20,9,Matí,Desconegut,0,0,0,0,1,-1,-1,20140120,20/01/2014,-1/-1,-1.0,-1.0,"-1.0, -1.0","(-1.0, -1.0)",False,Laboral,,2000.0,,,No hi ha causa mediata
2014S003380,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0163 0163,Dijous,4,Laboral,2014,5,Maig,8,13,Matí,Desconegut,0,1,0,1,2,"4585072,01","432111,21",20140508,08/05/2014,"432111,21/4585072,01",41.4143332871,2.18767094425,"41.4143332871, 2.18767094425","(41.4143332871, 2.18767094425)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2014S002456,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,134801,Freser,0101 0101,Dijous,4,Laboral,2014,4,Abril,3,10,Matí,Desconegut,0,1,0,1,1,"4585510,29","431800,00",20140403,03/04/2014,"431800,00/4585510,29",41.4182543805,2.18389808304,"41.4182543805, 2.18389808304","(41.4182543805, 2.18389808304)",True,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2014S006504,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0358 0358,Dimecres,3,Laboral,2014,9,Setembre,10,14,Tarda,Desconegut,0,2,0,2,2,"4585511,58","431690,10",20140910,10/09/2014,"431690,10/4585511,58",41.4182566638,2.18258296879,"41.4182566638, 2.18258296879","(41.4182566638, 2.18258296879)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2014S003469,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,90502,Còrsega,0711 0711,Dilluns,1,Laboral,2014,5,Maig,12,8,Matí,Desconegut,0,1,0,1,2,"4585164,06","431643,32",20140512,12/05/2014,"431643,32/4585164,06",41.4151226893,2.18206251096,"41.4151226893, 2.18206251096","(41.4151226893, 2.18206251096)",True,Laboral,,2000.0,"[(41.4155299, 2.18217)]",Col.lisió lateral,No hi ha causa mediata
2014S003302,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,194406,Maragall,0029 0031,Dilluns,1,Laboral,2014,5,Maig,5,17,Tarda,Desconegut,0,1,0,1,2,"4585336,24","431615,03",20140505,05/05/2014,"431615,03/4585336,24",41.4166710501,2.18170456926,"41.4166710501, 2.18170456926","(41.4166710501, 2.18170456926)",False,Laboral,,2000.0,[],Col.lisió fronto-lateral,No hi ha causa mediata
2014S008870,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0288 0288,Dimarts,2,Laboral,2014,12,Desembre,2,16,Tarda,Desconegut,0,1,0,1,2,"4585306,47","431650,48",20141202,02/12/2014,"431650,48/4585306,47",41.4164059377,2.18213208673,"41.4164059377, 2.18213208673","(41.4164059377, 2.18213208673)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2014S000362,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0298 0300,Dijous,4,Laboral,2014,1,Gener,16,19,Tarda,Desconegut,0,1,0,1,1,"4585332,39","431676,99",20140116,16/01/2014,"431676,99/4585332,39",41.4166416449,2.18244634587,"41.4166416449, 2.18244634587","(41.4166416449, 2.18244634587)",False,Laboral,,2000.0,"[(41.41654, 2.18296)]",Atropellament,No hi ha causa mediata
2014S002612,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0248 0250,Dimarts,2,Laboral,2014,4,Abril,8,15,Tarda,Desconegut,0,1,0,1,2,"4585045,72","431213,37",20140408,08/04/2014,"431213,37/4585045,72",41.4140201547,2.17693180882,"41.4140201547, 2.17693180882","(41.4140201547, 2.17693180882)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
