NumeroDexpedient,CodiDistricte,NomDistricte,CodiBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2015S004786,10,Sant Martí,64,el Camp de l'Arpa del Clot,90502,Còrsega,0701 0701,Dissabte,Ds,Laboral,2015,6,Juny,20,18,Tarda,No és causa del  vianant,0,2,0,3,"4585086,13","431597,88",20150620,20/06/2015,"431597,88/4585086,13",41.4144169333,2.18152765284,"41.4144169333, 2.18152765284","(41.4144169333, 2.18152765284)",False,Festiu,,2000.0,[],Atropellament,No hi ha causa mediata
2015S009038,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó,0555 0555,Dissabte,Ds,Laboral,2015,11,Novembre,28,13,Matí,No és causa del  vianant,0,2,0,1,"4584488,01","431940,62",20151128,28/11/2015,"431940,62/4584488,01",41.4090589563,2.18569562345,"41.4090589563, 2.18569562345","(41.4090589563, 2.18569562345)",False,Festiu,,2000.0,"[(41.4089, 2.18579), (41.4090599, 2.1852)]",Atropellament,No hi ha causa mediata
2015S000670,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0595 0595,Dimarts,Dm,Laboral,2015,1,Gener,27,20,Tarda,No és causa del  vianant,0,1,0,1,"4584722,76","432000,63",20150127,27/01/2015,"432000,63/4584722,76",41.4111783547,2.18638717033,"41.4111783547, 2.18638717033","(41.4111783547, 2.18638717033)",False,Laboral,,2000.0,"[(41.41146, 2.18606), (41.4112, 2.18682)]",Atropellament,No hi ha causa mediata
2015S008179,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0603 0603,Divendres,Dv,Laboral,2015,10,Octubre,30,21,Tarda,No és causa del  vianant,0,1,0,2,"4584754,37","432032,73",20151030,30/10/2015,"432032,73/4584754,37",41.4114657711,2.18676765916,"41.4114657711, 2.18676765916","(41.4114657711, 2.18676765916)",False,Laboral,,2000.0,"[(41.4112, 2.18682)]",Abast,No hi ha causa mediata
2015S002056,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0615 0615,Dimecres,Dc,Laboral,2015,3,Març,18,12,Matí,No és causa del  vianant,0,3,0,3,"4584790,88","432069,78",20150318,18/03/2015,"432069,78/4584790,88",41.4117977375,2.18720682279,"41.4117977375, 2.18720682279","(41.4117977375, 2.18720682279)",False,Laboral,,2000.0,"[(41.41204, 2.18682)]",Abast multiple,No hi ha causa mediata
2015S000526,10,Sant Martí,64,el Camp de l'Arpa del Clot,18505,Aragó,0607 0607,Dijous,Dj,Laboral,2015,1,Gener,22,9,Matí,No és causa del  vianant,0,2,0,2,"4584629,17","432098,83",20150122,22/01/2015,"432098,83/4584629,17",41.410343721,2.18757252299,"41.410343721, 2.18757252299","(41.410343721, 2.18757252299)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S008544,10,Sant Martí,64,el Camp de l'Arpa del Clot,105304,Dos de Maig,0210 0212,Dijous,Dj,Laboral,2015,11,Novembre,12,16,Tarda,No és causa del  vianant,0,1,0,2,"4584379,58","431833,05",20151112,12/11/2015,"431833,05/4584379,58",41.4080732462,2.1844209286,"41.4080732462, 2.1844209286","(41.4080732462, 2.1844209286)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S008823,10,Sant Martí,65,el Clot,115603,Espronceda,0267 0269,Diumenge,Dg,Laboral,2015,11,Novembre,22,10,Matí,No és causa del  vianant,0,1,0,2,"4585118,68","432760,33",20151122,22/11/2015,"432760,33/4585118,68",41.4148082026,2.19543211957,"41.4148082026, 2.19543211957","(41.4148082026, 2.19543211957)",False,Festiu,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S007965,10,Sant Martí,64,el Camp de l'Arpa del Clot,350308,València,0604 0604,Divendres,Dv,Laboral,2015,10,Octubre,23,9,Matí,No és causa del  vianant,0,1,0,2,"4584711,94","432021,49",20151023,23/10/2015,"432021,49/4584711,94",41.4110826669,2.18663795183,"41.4110826669, 2.18663795183","(41.4110826669, 2.18663795183)",False,Laboral,,2000.0,"[(41.4112, 2.18682)]",Abast,Calçada en mal estat
2015S006426,10,Sant Martí,65,el Clot,18505,Aragó,0611 0617,Dimecres,Dc,Laboral,2015,8,Agost,26,7,Matí,No és causa del  vianant,0,1,0,2,"4584721,08","432178,22",20150826,26/08/2015,"432178,22/4584721,08",41.4111782287,2.18851201937,"41.4111782287, 2.18851201937","(41.4111782287, 2.18851201937)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S003033,10,Sant Martí,65,el Clot,18505,Aragó,0631 0631,Dimecres,Dc,Laboral,2015,4,Abril,22,15,Tarda,No és causa del  vianant,0,1,0,3,"4584835,15","432296,00",20150422,22/04/2015,"432296,00/4584835,15",41.4122155519,2.18990835848,"41.4122155519, 2.18990835848","(41.4122155519, 2.18990835848)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2015S008965,10,Sant Martí,65,el Clot,18505,Aragó,0644X0644X,Dijous,Dj,Laboral,2015,11,Novembre,26,18,Tarda,Desobeir el senyal del semàfor,0,2,0,1,"4585034,03","432556,18",20151126,26/11/2015,"432556,18/4585034,03",41.4140286789,2.19299899644,"41.4140286789, 2.19299899644","(41.4140286789, 2.19299899644)",False,Laboral,,2000.0,"[(41.41362, 2.19311)]",Atropellament,No hi ha causa mediata
2015S000924,10,Sant Martí,65,el Clot,191204,Mallorca,0656 0656,Divendres,Dv,Laboral,2015,2,Febrer,6,9,Matí,No és causa del  vianant,0,1,0,2,"4585211,10","432341,84",20150206,06/02/2015,"432341,84/4585211,10",41.4156054767,2.19041474665,"41.4156054767, 2.19041474665","(41.4156054767, 2.19041474665)",False,Laboral,,2000.0,[],Caiguda (dues rodes),No hi ha causa mediata
2015S005691,10,Sant Martí,65,el Clot,151800,Guatemala,0001 0001,Dijous,Dj,Laboral,2015,7,Juliol,23,19,Tarda,No és causa del  vianant,0,2,0,1,"4584635,84","432641,17",20150723,23/07/2015,"432641,17/4584635,84",41.4104494294,2.19406018062,"41.4104494294, 2.19406018062","(41.4104494294, 2.19406018062)",False,Laboral,,2000.0,"[(41.41029, 2.19356)]",Caiguda (dues rodes),No hi ha causa mediata
2015S006968,10,Sant Martí,65,el Clot,115603,Espronceda,0287 0291,Dimecres,Dc,Laboral,2015,9,Setembre,16,15,Tarda,No és causa del  vianant,0,1,0,2,"4585214,20","432663,12",20150916,16/09/2015,"432663,12/4585214,20",41.4156603827,2.19425841437,"41.4156603827, 2.19425841437","(41.4156603827, 2.19425841437)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2015S004241,10,Sant Martí,65,el Clot,115603,Espronceda,0309 0311,Dimecres,Dc,Laboral,2015,6,Juny,3,9,Matí,No és causa del  vianant,0,1,0,2,"4585268,94","432612,39",20150603,03/06/2015,"432612,39/4585268,94",41.4161491566,2.19364534757,"41.4161491566, 2.19364534757","(41.4161491566, 2.19364534757)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S006700,10,Sant Martí,65,el Clot,115603,Espronceda,0309 0311,Dissabte,Ds,Laboral,2015,9,Setembre,5,21,Tarda,No és causa del  vianant,0,2,0,2,"4585268,94","432612,39",20150905,05/09/2015,"432612,39/4585268,94",41.4161491566,2.19364534757,"41.4161491566, 2.19364534757","(41.4161491566, 2.19364534757)",False,Festiu,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S007931,10,Sant Martí,65,el Clot,18505,Aragó,0641B0641B,Dijous,Dj,Laboral,2015,10,Octubre,22,8,Matí,No és causa del  vianant,0,1,0,2,"4584939,50","432399,70",20151022,22/10/2015,"432399,70/4584939,50",41.4131641292,2.19113737153,"41.4131641292, 2.19113737153","(41.4131641292, 2.19113737153)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
