NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2012S005688,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0203 0205,Dissabte,6,Laboral,2012,8,Agost,4,16,Tarda,Desconegut,0,1,0,1,2,"4585178,54","432022,72",20120804,04/08/2012,"432022,72/4585178,54",41.4152852884,2.18660024151,"41.4152852884, 2.18660024151","(41.4152852884, 2.18660024151)",False,Festiu,,2000.0,"[(41.4152, 2.18699)]",Col.lisió fronto-lateral,No hi ha causa mediata
2012S005343,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0337 0337,Diumenge,7,Laboral,2012,7,Juliol,22,21,Tarda,Desconegut,0,1,0,1,2,"4585352,36","431860,84",20120722,22/07/2012,"431860,84/4585352,36",41.4168371186,2.18464383298,"41.4168371186, 2.18464383298","(41.4168371186, 2.18464383298)",False,Festiu,,2000.0,"[(41.41714, 2.18444)]",Col.lisió fronto-lateral,No hi ha causa mediata
2012S002291,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0288 0288,Dijous,4,Laboral,2012,3,Març,29,15,Tarda,Desconegut,0,1,0,1,2,"4585102,28","431556,72",20120329,29/03/2012,"431556,72/4585102,28",41.4145588865,2.18103336987,"41.4145588865, 2.18103336987","(41.4145588865, 2.18103336987)",False,Laboral,,2000.0,"[(41.41456, 2.18086)]",Col.lisió lateral,No hi ha causa mediata
2012S005379,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0356 0356,Dimarts,2,Laboral,2012,7,Juliol,24,10,Matí,Creuar per fora pas de vianants,0,2,0,2,1,"4585266,01","431552,73",20120724,24/07/2012,"431552,73/4585266,01",41.416033208,2.18096710632,"41.416033208, 2.18096710632","(41.416033208, 2.18096710632)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2012S004837,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0270 0270,Dimarts,2,Laboral,2012,7,Juliol,3,14,Tarda,Desconegut,0,2,0,2,1,"4584898,92","431180,43",20120703,03/07/2012,"431180,43/4584898,92",41.4126951572,2.17655440195,"41.4126951572, 2.17655440195","(41.4126951572, 2.17655440195)",False,Laboral,,2000.0,[],Xoc contra element estàtic,No hi ha causa mediata
2012S008982,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0244 0244,Dimecres,3,Laboral,2012,12,Desembre,19,15,Tarda,Desconegut,0,1,0,1,2,"4584879,97","431339,02",20121219,19/12/2012,"431339,02/4584879,97",41.4125380452,2.17845393939,"41.4125380452, 2.17845393939","(41.4125380452, 2.17845393939)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2012S007170,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,105304,Dos de Maig,0278 0278,Divendres,5,Laboral,2012,10,Octubre,12,13,Matí,Desconegut,0,1,0,1,2,"4584568,58","431355,88",20121012,12/10/2012,"431355,88/4584568,58",41.4097348996,2.17869098012,"41.4097348996, 2.17869098012","(41.4097348996, 2.17869098012)",True,Festiu,,2000.0,"[(41.40945, 2.17885), (41.40963, 2.1791299), (41.40945, 2.17885)]",Caiguda (dues rodes),No hi ha causa mediata
2012S004609,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,350308,València,0607 0607,Dilluns,1,Laboral,2012,6,Juny,25,15,Tarda,Desconegut,0,1,0,1,2,"4584562,33","431951,31",20120625,25/06/2012,"431951,31/4584562,33",41.4097292382,2.18581515527,"41.4097292382, 2.18581515527","(41.4097292382, 2.18581515527)",False,Laboral,,2000.0,[],Col.lisió lateral,Estat de la senyalització
2012S003244,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,217104,Muntanya,0125 0125,Dilluns,1,Laboral,2012,5,Maig,7,8,Matí,Desconegut,0,1,0,1,2,"4584920,14","431678,80",20120507,07/05/2012,"431678,80/4584920,14",41.4129287993,2.18251455954,"41.4129287993, 2.18251455954","(41.4129287993, 2.18251455954)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
2012S006426,10,Sant Martí,102-10-72,Sant Martí de Provençals,30409,Bac de Roda,0161 0161,Dimecres,3,Laboral,2012,9,Setembre,12,15,Tarda,Desconegut,0,1,0,1,2,"4584836,69","432925,19",20120912,12/09/2012,"432925,19/4584836,69",41.4122821789,2.19743585815,"41.4122821789, 2.19743585815","(41.4122821789, 2.19743585815)",False,Laboral,,2000.0,[],Abast,No hi ha causa mediata
