entityid,codiincident,descripcioincident,codidistricte,nomdistricte,nkany,mesdeany,nommes,numerodincidentsgub
d2df07a9-1e6c-4427-9bae-7f19e0ff61f4,221,INFRACCIONS PER ESTACIONAMENTS,10,Sant Martí,2015,2,Febrer,136
d2f10879-5bd4-439c-a5de-4c42a6485cda,830,ALTRES ACTUACIONS EN MEDI AMBIENT,1,Ciutat Vella,2015,12,Desembre,7
d2f8e7e3-5e4b-4a92-8a54-d9458c7310da,610,ACTES CONTRA LA PROPIETAT PRIVADA,10,Sant Martí,2015,1,Gener,173
d30ab129-2f5b-45eb-a8e7-b37cff5c589c,400,CONVIVÈNCIA VEINAL,2,Eixample,2015,11,Novembre,538
d31528ad-71c6-4b31-9140-0cd925a994bf,640,INFRACCIONS D ESTRANGERS,1,Ciutat Vella,2015,9,Setembre,9
d31e6096-e941-4116-9229-fff34fa2496b,500,MANIFESTACIONS / CONCENTRACIONS,5,Sarrià-Sant Gervasi,2015,8,Agost,2
d32f7a0c-ddd0-4d78-92c4-f441128febc7,305,COL·LABORACIÓ AMB ALTRES SERVEIS,1,Ciutat Vella,2015,3,Març,68
d3307376-62e4-406b-aefe-7fb27e3cb1de,50,ATEMPTATS,6,Gràcia,2015,6,Juny,1
d330e57b-bc89-4566-b45e-7ee5bd043720,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,7,Horta-Guinardó,2015,9,Setembre,136
d334a6df-0ee4-4cc8-830c-8de6b66116a1,241,SUPORTS,3,Sants-Montjuïc,2015,8,Agost,63
d363801f-847d-440a-95d7-baf22af9e144,221,INFRACCIONS PER ESTACIONAMENTS,10,Sant Martí,2015,10,Octubre,160
d36d6009-79cd-4f25-aca8-5f0a4471b0cc,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,2,Eixample,2015,5,Maig,42
d36d75ca-e701-4e9d-978b-85c9c3892ae2,100,ÀMBIT DE PROTECCIÓ DEL MENOR,2,Eixample,2015,4,Abril,14
d36f8a50-d909-4c68-9532-f344372ad70a,480,ALARMES D INCENDI / ROBATORI,5,Sarrià-Sant Gervasi,2015,9,Setembre,15
d375d32e-5628-4abc-875a-44129f3da42e,470,ALTRES INTERVENCIONS DE P  ADMINISTRATIVA,-1,Desconegut,2015,8,Agost,7
d37f0c99-2a8e-479e-9bc8-a84f67841eb9,670,AGRESSIONS,5,Sarrià-Sant Gervasi,2015,5,Maig,9
d382b86b-d1e7-45f6-a146-0d35b0b92fc3,441,ANIMALS / INSECTES PERILLOSOS,10,Sant Martí,2015,10,Octubre,2
d3998c56-57f4-4962-bf16-51e96fa2fc12,61,AVARIES DE SERVEIS PÚBLICS,8,Nou Barris,2015,7,Juliol,13
d39a3677-0100-4d34-932e-cafbd8cd580b,401,MOLESTIES PER GENERADORS,7,Horta-Guinardó,2015,2,Febrer,3
d39eef08-7cec-45b8-9889-0c0658e1cb8c,302,ASSISTÈNCIA A CONDUCTORS EN V  P ,-1,Desconegut,2015,5,Maig,1
d3a732cb-30b2-4a3b-bd1c-3478083c6a35,201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,3,Sants-Montjuïc,2015,4,Abril,46
d3b70908-b7c2-4031-81ea-e6ea166e7676,60,SUBMINISTRAMENTS BÀSICS,4,Les Corts,2015,11,Novembre,1
d3bc54bf-e235-47d0-b2cb-7f7e3bd87026,513,CONFLICTES EN LOCALS,2,Eixample,2015,8,Agost,45
d3da9631-61b3-4938-99c3-0b91e94b5f00,430,ESPECTACLES EN ESPAIS PÚBLICS,2,Eixample,2015,6,Juny,22
d3dd4e28-881e-49cd-ba28-c1ca9fd28004,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,10,Sant Martí,2015,1,Gener,191
d3e7530a-16bc-4f96-9078-564d56a40979,422,INSPECCIONS / CONTROLS EN LOCALS,2,Eixample,2015,7,Juliol,36
d3eec3a2-b6ae-4ddd-bb3f-f9028c322a52,223,INFRACCIONS EN MOVIMENT (VEHICLES),10,Sant Martí,2015,6,Juny,3
d3f212a4-795b-48f4-b6e1-f7d7601bd3c5,422,INSPECCIONS / CONTROLS EN LOCALS,9,Sant Andreu,2015,4,Abril,10
d3f77b1c-db32-4152-8d5a-543e2fdc52c9,30,MATÈRIES PERILLOSES,1,Ciutat Vella,2015,1,Gener,6
d405e06e-85df-44ee-a18f-bda03859239b,250,CONDUCCIONS I ACOMPANYAMENTS,9,Sant Andreu,2015,5,Maig,4
d40fdcad-c6c3-4cc9-a896-ef88f2c031fe,230,TRASLLATS DE VEHICLES SENSE INFRACCIÓ,7,Horta-Guinardó,2015,6,Juny,22
d412b8b8-7e9d-48d3-8f9d-13c21b7d7a12,50,ATEMPTATS,9,Sant Andreu,2015,3,Març,2
d41755e1-ef5d-4866-ae99-e6e99de7e2f3,242,IMMOBILITZACIONS /DESIMMOBILITZACIONS,6,Gràcia,2015,2,Febrer,3
d4185386-9852-4328-8b95-16cf09f471d4,61,AVARIES DE SERVEIS PÚBLICS,1,Ciutat Vella,2015,2,Febrer,14
d420e4b3-5f77-49a9-8cab-29af0678a3d4,400,CONVIVÈNCIA VEINAL,8,Nou Barris,2015,7,Juliol,314
d4212286-cf7a-4167-ac26-f13fa1c08de5,204,SENYALS NO AUTOMATITZADES,3,Sants-Montjuïc,2015,9,Setembre,6
d430c125-3d37-44e1-8f67-b8e05eb3d942,220,INFRACCIONS EN GUALS I RESERVES,6,Gràcia,2015,6,Juny,125
d4385025-3b0d-45e1-946f-b16dbe54bb80,305,COL·LABORACIÓ AMB ALTRES SERVEIS,3,Sants-Montjuïc,2015,5,Maig,63
d43ea630-790d-4e1d-a294-2344c37cbb73,201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,7,Horta-Guinardó,2015,4,Abril,27
d441473f-0de0-47af-90a4-0632bf97d324,63,EDIFICIS OFICIALS,8,Nou Barris,2015,10,Octubre,1
d448d467-0191-4127-baeb-a0d91121b00f,241,SUPORTS,9,Sant Andreu,2015,12,Desembre,35
d455955f-6b82-4e46-aeb7-d0b07d6e1ed6,600,COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL,7,Horta-Guinardó,2015,12,Desembre,2
d45b165c-0743-405a-bf5b-d788d88cc89d,211,ACCIDENTS DE TRÀNSIT AMB FERITS,4,Les Corts,2015,4,Abril,75
d45bbf7a-ab31-47e1-8967-2927629fc8da,460,INCIDÈNCIES D ALIMENTS,1,Ciutat Vella,2015,9,Setembre,1
d47f4b69-bd61-48a5-90db-a17556a81514,70,SINISTRES EN EDIFICIS,7,Horta-Guinardó,2015,11,Novembre,8
d48587a4-55e0-429e-9ca4-55e4e1dddb62,420,INCIDÈNCIES DE LOCALS,8,Nou Barris,2015,2,Febrer,51
d4957aaa-ce1b-4115-b0e0-061aa73403ec,830,ALTRES ACTUACIONS EN MEDI AMBIENT,-1,Desconegut,2015,12,Desembre,1
d4a06560-cbbb-40bc-b357-fbfd05159b3a,411,VENDA AMBULANT,1,Ciutat Vella,2015,3,Març,139
d4a219cd-9d33-4fea-b6d4-3d0c0ac125b7,21,VENTS FORTS,3,Sants-Montjuïc,2015,1,Gener,26
d4a5f3ef-9202-4ba6-b26e-085a2d98c53c,20,PLUJA TORRENCIAL,8,Nou Barris,2015,8,Agost,27
d4a6b3de-c902-4986-968a-4452176e20a2,410,ACTIVITATS MOLESTES EN ESPAIS PÚBLICS,6,Gràcia,2015,3,Març,150
d4abc76f-5673-4320-b042-1b9f0cc26bc1,470,ALTRES INTERVENCIONS DE P  ADMINISTRATIVA,1,Ciutat Vella,2015,11,Novembre,106
d4ae56ef-a010-48e0-9a8e-97921fa18805,70,SINISTRES EN EDIFICIS,6,Gràcia,2015,7,Juliol,7
d4ae61ee-e86d-49d4-b218-9132b46db4db,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,4,Les Corts,2015,2,Febrer,31
d4b2771c-cac7-4e14-b4b3-613156b8e37e,240,CONTROLS DE TRÀNSIT,8,Nou Barris,2015,5,Maig,6
