CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
221;INFRACCIONS PER ESTACIONAMENTS;7;Horta-Guinardó;2012;8;Agost;93
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;10;Sant Martí;2012;8;Agost;438
203;SENYALS AUTOMATITZADES;10;Sant Martí;2012;9;Setembre;44
411;VENDA AMBULANT;3;Sants-Montjuïc;2012;9;Setembre;17
610;ACTES CONTRA LA PROPIETAT PRIVADA;7;Horta-Guinardó;2012;9;Setembre;37
510;BARALLES;3;Sants-Montjuïc;2012;9;Setembre;39
230;TRASLLATS DE VEHICLES SENSE INFRACCIÓ;5;Sarrià-Sant Gervasi;2012;9;Setembre;25
410;ACTIVITATS MOLESTES EN ESPAIS PÚBLICS;5;Sarrià-Sant Gervasi;2012;9;Setembre;217
305;COL·LABORACIÓ AMB ALTRES SERVEIS;3;Sants-Montjuïc;2012;8;Agost;25
670;AGRESSIONS;10;Sant Martí;2012;8;Agost;14
510;BARALLES;1;Ciutat Vella;2012;8;Agost;64
062;AVARIES DE SERVEIS MUNICIPALS;3;Sants-Montjuïc;2012;9;Setembre;11
303;ASSISTÈNCIA A MALALTS MENTALS;1;Ciutat Vella;2012;9;Setembre;3
21M;ACCIDENT PROCEDENT PASSAREL·LA CME;9;Sant Andreu;2012;8;Agost;1
062;AVARIES DE SERVEIS MUNICIPALS;3;Sants-Montjuïc;2012;8;Agost;31
300;ASSISTÈNCIA A PERSONES EN EDIFICI;10;Sant Martí;2012;9;Setembre;37
000;INCENDIS;4;Les Corts;2012;8;Agost;13
670;AGRESSIONS;6;Gràcia;2012;9;Setembre;8
070;SINISTRES EN EDIFICIS;4;Les Corts;2012;8;Agost;5
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;8;Nou Barris;2012;10;Octubre;9
220;INFRACCIONS EN GUALS I RESERVES;4;Les Corts;2012;10;Octubre;109
650;VIGILÀNCIA POLICIAL;9;Sant Andreu;2012;10;Octubre;236
223;INFRACCIONS EN MOVIMENT (VEHICLES);8;Nou Barris;2012;10;Octubre;2
620;ESTUPEFAENTS / PSICOTROPICS;10;Sant Martí;2012;10;Octubre;28
451;OCUPACIONS D ESPAIS PÚBLICS;9;Sant Andreu;2012;10;Octubre;3
600;COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL;5;Sarrià-Sant Gervasi;2012;10;Octubre;3
420;INCIDÈNCIES DE LOCALS;4;Les Corts;2012;10;Octubre;26
305;COL·LABORACIÓ AMB ALTRES SERVEIS;6;Gràcia;2012;10;Octubre;14
513;CONFLICTES EN LOCALS;4;Les Corts;2012;10;Octubre;6
442;ALTRES INCIDÈNCIES AMB ANIMALS;9;Sant Andreu;2012;10;Octubre;1
500;MANIFESTACIONS / CONCENTRACIONS;10;Sant Martí;2012;9;Setembre;11
421;INFRACCIONS EN LOCALS;8;Nou Barris;2012;10;Octubre;2
451;OCUPACIONS D ESPAIS PÚBLICS;2;Eixample;2012;11;Novembre;8
513;CONFLICTES EN LOCALS;10;Sant Martí;2012;11;Novembre;19
211;ACCIDENTS DE TRÀNSIT AMB FERITS;10;Sant Martí;2012;11;Novembre;93
220;INFRACCIONS EN GUALS I RESERVES;4;Les Corts;2012;11;Novembre;122
211;ACCIDENTS DE TRÀNSIT AMB FERITS;1;Ciutat Vella;2012;11;Novembre;53
211;ACCIDENTS DE TRÀNSIT AMB FERITS;7;Horta-Guinardó;2012;11;Novembre;54
422;INSPECCIONS / CONTROLS EN LOCALS;5;Sarrià-Sant Gervasi;2012;11;Novembre;8
211;ACCIDENTS DE TRÀNSIT AMB FERITS;4;Les Corts;2012;1;Gener;54
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;10;Sant Martí;2012;1;Gener;72
204;SENYALS NO AUTOMATITZADES;6;Gràcia;2012;10;Octubre;6
610;ACTES CONTRA LA PROPIETAT PRIVADA;9;Sant Andreu;2012;1;Gener;44
800;FOGUERES / BARBACOES;8;Nou Barris;2012;11;Novembre;1
250;CONDUCCIONS I ACOMPANYAMENTS;9;Sant Andreu;2012;1;Gener;3
420;INCIDÈNCIES DE LOCALS;4;Les Corts;2012;1;Gener;22
500;MANIFESTACIONS / CONCENTRACIONS;6;Gràcia;2012;1;Gener;8
830;ALTRES ACTUACIONS EN MEDI AMBIENT;3;Sants-Montjuïc;2012;1;Gener;3
