CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
830;ALTRES ACTUACIONS EN MEDI AMBIENT;1;Ciutat Vella;2013;8;Agost;6
250;CONDUCCIONS I ACOMPANYAMENTS;9;Sant Andreu;2013;8;Agost;1
202;RESTRICCIONS TEMPORALS DE TRÀNSIT;2;Eixample;2013;9;Setembre;30
420;INCIDÈNCIES DE LOCALS;8;Nou Barris;2013;9;Setembre;61
305;COL·LABORACIÓ AMB ALTRES SERVEIS;1;Ciutat Vella;2013;9;Setembre;59
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;5;Sarrià-Sant Gervasi;2013;8;Agost;34
513;CONFLICTES EN LOCALS;4;Les Corts;2013;8;Agost;3
061;AVARIES DE SERVEIS PÚBLICS;2;Eixample;2013;9;Setembre;18
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;5;Sarrià-Sant Gervasi;2013;9;Setembre;7
422;INSPECCIONS / CONTROLS EN LOCALS;4;Les Corts;2013;9;Setembre;13
630;CONTRA LA LLIBERTAT SEXUAL;9;Sant Andreu;2013;9;Setembre;1
21M;ACCIDENT PROCEDENT PASSAREL·LA CME;3;Sants-Montjuïc;2013;9;Setembre;2
511;VANDALISME;8;Nou Barris;2013;8;Agost;4
050;ATEMPTATS;3;Sants-Montjuïc;2013;9;Setembre;1
611;ACTES CONTRA LA PROPIETAT PÚBLICA;10;Sant Martí;2013;8;Agost;2
220;INFRACCIONS EN GUALS I RESERVES;1;Ciutat Vella;2013;11;Novembre;186
062;AVARIES DE SERVEIS MUNICIPALS;1;Ciutat Vella;2013;11;Novembre;47
480;ALARMES D INCENDI / ROBATORI;6;Gràcia;2013;11;Novembre;4
400;CONVIVÈNCIA VEINAL;9;Sant Andreu;2013;10;Octubre;163
200;INCIDÈNCIES AMB AFECTACIÓ DE VIA;5;Sarrià-Sant Gervasi;2013;10;Octubre;75
440;ANIMALS DE COMPANYIA;5;Sarrià-Sant Gervasi;2013;10;Octubre;19
211;ACCIDENTS DE TRÀNSIT AMB FERITS;3;Sants-Montjuïc;2013;10;Octubre;128
100;ÀMBIT DE PROTECCIÓ DEL MENOR;1;Ciutat Vella;2013;10;Octubre;30
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;6;Gràcia;2013;10;Octubre;44
500;MANIFESTACIONS / CONCENTRACIONS;1;Ciutat Vella;2013;11;Novembre;59
610;ACTES CONTRA LA PROPIETAT PRIVADA;3;Sants-Montjuïc;2013;11;Novembre;81
305;COL·LABORACIÓ AMB ALTRES SERVEIS;5;Sarrià-Sant Gervasi;2013;11;Novembre;11
241;SUPORTS;4;Les Corts;2013;10;Octubre;20
203;SENYALS AUTOMATITZADES;1;Ciutat Vella;2013;10;Octubre;36
201;INCIDÈNCIES AMB PERILL PEL TRÀNSIT;8;Nou Barris;2013;11;Novembre;24
061;AVARIES DE SERVEIS PÚBLICS;6;Gràcia;2013;10;Octubre;10
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;3;Sants-Montjuïc;2013;11;Novembre;3
513;CONFLICTES EN LOCALS;7;Horta-Guinardó;2013;10;Octubre;12
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;7;Horta-Guinardó;2013;10;Octubre;6
422;INSPECCIONS / CONTROLS EN LOCALS;4;Les Corts;2013;11;Novembre;6
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;4;Les Corts;2013;10;Octubre;3
620;ESTUPEFAENTS / PSICOTROPICS;4;Les Corts;2013;7;Juliol;2
062;AVARIES DE SERVEIS MUNICIPALS;9;Sant Andreu;2013;12;Desembre;10
440;ANIMALS DE COMPANYIA;2;Eixample;2013;12;Desembre;18
510;BARALLES;1;Ciutat Vella;2013;12;Desembre;29
510;BARALLES;3;Sants-Montjuïc;2013;12;Desembre;15
511;VANDALISME;4;Les Corts;2013;11;Novembre;2
630;CONTRA LA LLIBERTAT SEXUAL;3;Sants-Montjuïc;2013;12;Desembre;3
240;CONTROLS DE TRÀNSIT;-1;Desconegut;2013;3;Març;70
610;ACTES CONTRA LA PROPIETAT PRIVADA;-1;Desconegut;2013;4;Abril;21
451;OCUPACIONS D ESPAIS PÚBLICS;-1;Desconegut;2013;1;Gener;1
680;ALTRES ACTUACIONS DE S, C,;-1;Desconegut;2013;4;Abril;32
400;CONVIVÈNCIA VEINAL;-1;Desconegut;2013;10;Octubre;70
305;COL·LABORACIÓ AMB ALTRES SERVEIS;-1;Desconegut;2013;10;Octubre;12
411;VENDA AMBULANT;-1;Desconegut;2013;8;Agost;30
530;DELICTES CONTRA L ORDRE PÚBLIC;-1;Desconegut;2013;8;Agost;3
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;-1;Desconegut;2013;6;Juny;1
511;VANDALISME;-1;Desconegut;2013;12;Desembre;1
800;FOGUERES / BARBACOES;7;Horta-Guinardó;2013;2;Febrer;1
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;6;Gràcia;2013;1;Gener;1
430;ESPECTACLES EN ESPAIS PÚBLICS;9;Sant Andreu;2013;9;Setembre;1
060;SUBMINISTRAMENTS BÀSICS;1;Ciutat Vella;2013;12;Desembre;1
250;CONDUCCIONS I ACOMPANYAMENTS;1;Ciutat Vella;2013;5;Maig;2
