CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
650;VIGILÀNCIA POLICIAL;5;Sarrià-Sant Gervasi;2014;6;Juny;198
650;VIGILÀNCIA POLICIAL;6;Gràcia;2014;3;Març;213
650;VIGILÀNCIA POLICIAL;2;Eixample;2014;3;Març;526
240;CONTROLS DE TRÀNSIT;9;Sant Andreu;2014;3;Març;58
420;INCIDÈNCIES DE LOCALS;1;Ciutat Vella;2014;3;Març;93
680;ALTRES ACTUACIONS DE S, C,;1;Ciutat Vella;2014;3;Març;174
422;INSPECCIONS / CONTROLS EN LOCALS;8;Nou Barris;2014;3;Març;24
222;INFRACCIONS EN MOVIMENT;4;Les Corts;2014;3;Març;50
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;1;Ciutat Vella;2014;3;Març;8
203;SENYALS AUTOMATITZADES;6;Gràcia;2014;3;Març;26
222;INFRACCIONS EN MOVIMENT;6;Gràcia;2014;3;Març;41
420;INCIDÈNCIES DE LOCALS;7;Horta-Guinardó;2014;3;Març;35
430;ESPECTACLES EN ESPAIS PÚBLICS;3;Sants-Montjuïc;2014;3;Març;3
062;AVARIES DE SERVEIS MUNICIPALS;4;Les Corts;2014;3;Març;5
480;ALARMES D INCENDI / ROBATORI;9;Sant Andreu;2014;3;Març;13
510;BARALLES;3;Sants-Montjuïc;2014;4;Abril;30
400;CONVIVÈNCIA VEINAL;9;Sant Andreu;2014;4;Abril;154
610;ACTES CONTRA LA PROPIETAT PRIVADA;1;Ciutat Vella;2014;4;Abril;533
610;ACTES CONTRA LA PROPIETAT PRIVADA;10;Sant Martí;2014;4;Abril;93
301;ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS;10;Sant Martí;2014;4;Abril;115
610;ACTES CONTRA LA PROPIETAT PRIVADA;7;Horta-Guinardó;2014;4;Abril;34
211;ACCIDENTS DE TRÀNSIT AMB FERITS;8;Nou Barris;2014;4;Abril;60
203;SENYALS AUTOMATITZADES;8;Nou Barris;2014;5;Maig;22
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;9;Sant Andreu;2014;5;Maig;37
222;INFRACCIONS EN MOVIMENT;9;Sant Andreu;2014;4;Abril;83
650;VIGILÀNCIA POLICIAL;10;Sant Martí;2014;5;Maig;293
210;ACCIDENTS DE TRÀNSIT SENSE FERITS;3;Sants-Montjuïc;2014;5;Maig;66
203;SENYALS AUTOMATITZADES;9;Sant Andreu;2014;4;Abril;16
